platform	format	family	communication	width	height	path	sha256
facebook	Feed 4:5	Programme Story	FIELD,CORE	1080	1350	04_Templates/facebook/01_Feed_4x5/01_Programme_Story.svg	df3752af7592cb6de51ad33dbb115a84133832f5cd4896ee2b3e8a750addea54
facebook	Feed 4:5	Impact Number	CORE,FIELD	1080	1350	04_Templates/facebook/01_Feed_4x5/02_Impact_Number.svg	a94f03ed5ae32dd3b78c649b406ba6aad1a8a4efe0b42e9ae9b74d7f78bb8286
facebook	Feed 4:5	Impact Dashboard	CORE,FIELD	1080	1350	04_Templates/facebook/01_Feed_4x5/03_Impact_Dashboard.svg	de23adbd9bea2b4928b8cebcca62a093079a5df5024db0e862a887c85e82dbed
facebook	Feed 4:5	Human Story	FIELD,MOMENT	1080	1350	04_Templates/facebook/01_Feed_4x5/04_Human_Story.svg	7e70960f905e8606014af9357dbaea4283a2f1e55273ca5494133dde25f9db06
facebook	Feed 4:5	Awareness / Issue	CORE,OBS	1080	1350	04_Templates/facebook/01_Feed_4x5/05_Awareness.svg	1ce4404d60e6da4df0b0253cec0f51ad152542106bfab5087c1b34a7fc5cca44
facebook	Feed 4:5	Quote / Institutional Message	HSF,CORE	1080	1350	04_Templates/facebook/01_Feed_4x5/06_Institutional_Message.svg	6d1239a9ec582e2376b333a117a9ab5044df6f2e143f36becca24827ac6d2568
facebook	Feed 4:5	Event / Programme Announcement	EVENT	1080	1350	04_Templates/facebook/01_Feed_4x5/07_Event_Announcement.svg	074626a1a00c4d0171cd9603c18dd938d7354e25b7b0780f21d369782597535f
facebook	Feed 4:5	Partnership / Recognition	HSF,EVENT	1080	1350	04_Templates/facebook/01_Feed_4x5/08_Partnership_Recognition.svg	babfef909a4dedaca38e0af9198c4418ebfdfaba999ffbe3286dc24517bebe0e
facebook	Feed 4:5	Volunteer / Recruitment	HSF,EVENT	1080	1350	04_Templates/facebook/01_Feed_4x5/09_Volunteer_Recruitment.svg	47079e1d10dc6d9eee926f413e9a1f9e164afe7ac756e037f12693298268e8d4
facebook	Feed 4:5	Support / Donation CTA	CORE,HSF	1080	1350	04_Templates/facebook/01_Feed_4x5/10_Support_CTA.svg	410b14cb4e421dc29c7dadf26a9d13362ebe7cac89594809527962e8452be158
facebook	Feed 4:5	Report / Publication	CORE,HSF	1080	1350	04_Templates/facebook/01_Feed_4x5/11_Report_Publication.svg	f27a89a9e5d71c50bd86f5687f85ba006806d9a5f99631470fe8694afe2b026a
facebook	Feed 4:5	Urgent Update / Crisis	CORE,EVENT	1080	1350	04_Templates/facebook/01_Feed_4x5/12_Urgent_Update.svg	1d19e4afe5ce59aa2f74308ec4876166c29fae4be74a4919f85af56b637c6081
facebook	Feed 4:5	Practical Guide / Community Advice	CORE,OBS	1080	1350	04_Templates/facebook/01_Feed_4x5/13_Practical_Guide.svg	344cd4025d39acb204ff4db4925ed967658d15dcc422ff99421aeb2c37c8e1bd
facebook	Feed 4:5	Myth vs Fact / Trusted Information	CORE,OBS	1080	1350	04_Templates/facebook/01_Feed_4x5/14_Myth_vs_Fact.svg	90044a2973297ea3e04030083320b43903d81ad7dd231c05a09d6ae98eb4782f
facebook	Feed 4:5	Checklist / Community Action	CORE,OBS	1080	1350	04_Templates/facebook/01_Feed_4x5/15_Checklist_Action.svg	68319bc370c0b2c4f4eebe90f92fa3d6cdb0410189f76138403afc1f9f62884f
facebook	Feed 4:5	HSF Moment	MOMENT,FIELD	1080	1350	04_Templates/facebook/01_Feed_4x5/16_HSF_Moment.svg	8c64bbc7be675ffea18d007bdebb01789f6f4ec2583368db9a6d319904b5daf4
facebook	Feed 4:5	Observance / National Day	OBS	1080	1350	04_Templates/facebook/01_Feed_4x5/17_Observance_Day.svg	1397ee427e195ed5ae2d953bfe6ce174fcdda749371b1576d6e4506c056ba3b4
facebook	Feed 4:5	Foundation Day / Milestone	HSF	1080	1350	04_Templates/facebook/01_Feed_4x5/18_Foundation_Milestone.svg	38581eaf61a4e53c00b6193708414050928294e7d9540331a202f9f9fe878dca
facebook	Feed 4:5	Field Activity	FIELD	1080	1350	04_Templates/facebook/01_Feed_4x5/19_Field_Activity.svg	34fe3cbfd750965affdbb4d8a368fb68de2f6786714a38c1bd8548b73c2b3129
facebook	Feed 4:5	Event Recap	EVENT,FIELD	1080	1350	04_Templates/facebook/01_Feed_4x5/20_Event_Recap.svg	a46cef203c77aa59aa7aaf0b43ca69509887305cbaed00f3ae9b860e659d97ac
instagram	Feed 4:5	Programme Story	FIELD,CORE	1080	1350	04_Templates/instagram/01_Feed_4x5/01_Programme_Story.svg	44bc341a258d2a1a938f7a725f6582f40d5e9a548bdcc3f95e6136147128a3df
instagram	Feed 4:5	Impact Number	CORE,FIELD	1080	1350	04_Templates/instagram/01_Feed_4x5/02_Impact_Number.svg	356d675404267ce274cbbf86cc51caf2b9cf91424a9b3e8a0f379554c30120ec
